"table_name","reason","status"
"pks_probability","Coerced 'resp' to numeric. 1908 values became NA.","Partially Processed"
"PEMAIW_Qiu_2020_SWLS","Coerced 'resp' to numeric. 3 values became NA.","Partially Processed"
"enem_2022_1mil_lc","Data fetch error: could not find function ""stream_callback""","Skipped"
"wooly_hartman2022","Coerced 'resp' to numeric. 1857 values became NA.","Partially Processed"
"PEMAIW_Qiu_2020_DASS","Coerced 'resp' to numeric. 22 values became NA.","Partially Processed"
"short_dark_triad","Coerced 'resp' to numeric. 748 values became NA.","Partially Processed"
"tdri","Coerced 'resp' to numeric. 33327 values became NA.","Partially Processed"
"psychotools_gratitude","Coerced 'resp' to numeric. 175 values became NA.","Partially Processed"
"gender_roles","Coerced 'resp' to numeric. 33596 values became NA.","Partially Processed"
"PROMISPME_Forrest_2021_Strength_Children","Coerced 'resp' to numeric. 85 values became NA.","Partially Processed"
"FEDSP_Trzcinska_2023_SMSD","Coerced 'resp' to numeric. 7 values became NA.","Partially Processed"
"BPAQ_Christopher_2024_PROMIS","Coerced 'resp' to numeric. 762 values became NA.","Partially Processed"
"PROMISPME_Forrest_2021_LS_Proxy","Coerced 'resp' to numeric. 115 values became NA.","Partially Processed"
"dumas_Organisciak_2022","Coerced 'resp' to numeric. 178 values became NA.","Partially Processed"
"PROMISPME_Forrest_2021_Physical_Children","Coerced 'resp' to numeric. 1304 values became NA.","Partially Processed"
"PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR","Coerced 'resp' to numeric. 3 values became NA.","Partially Processed"
"SAS_Deters_2022","Coerced 'resp' to numeric. 189 values became NA.","Partially Processed"
"mft_validationandreplication","Coerced 'resp' to numeric. 299 values became NA.","Partially Processed"
"chess_lnirt","Coerced 'resp' to numeric. 120 values became NA.","Partially Processed"
"EMSC_Kuan-chin_2023","Coerced 'resp' to numeric. 8 values became NA.","Partially Processed"
"gilbert_meta_20","Coerced 'resp' to numeric. 18 values became NA.","Partially Processed"
"mturkddm_recognition","Coerced 'resp' to numeric. 284 values became NA.","Partially Processed"
"PROMISPME_Forrest_2021_LS_Children","Coerced 'resp' to numeric. 634 values became NA.","Partially Processed"
"FACIT_YOUNT_2021_limitations","Coerced 'resp' to numeric. 10276 values became NA.","Partially Processed"
"MEFSIRODGAS_Nileksela_2023_freq","Coerced 'resp' to numeric. 1556 values became NA.","Partially Processed"
"deception_game","Coerced 'resp' to numeric. 4 values became NA.","Partially Processed"
"gilbert_meta_74","Coerced 'resp' to numeric. 73 values became NA.","Partially Processed"
"ffm_OPN","Coerced 'resp' to numeric. 93395 values became NA.","Partially Processed"
"VCISM_Polish_Trzcinska_2023","Coerced 'resp' to numeric. 3 values became NA.","Partially Processed"
"hypersensitive_narcissism","Coerced 'resp' to numeric. 6170 values became NA.","Partially Processed"
"timss_tam","Coerced 'resp' to numeric. 44 values became NA.","Partially Processed"
"cub_relgoods","Coerced 'resp' to numeric. 210 values became NA.","Partially Processed"
"PEMAIW_Qiu_2020_MEQ","Coerced 'resp' to numeric. 246 values became NA.","Partially Processed"
"FACES_Spanish_Vegas_2022_FSS","Coerced 'resp' to numeric. 136 values became NA.","Partially Processed"
"PBS_Surrain_2019_PoB","Coerced 'resp' to numeric. 917 values became NA.","Partially Processed"
"BPAQ_Christopher_2024_SCSS","Coerced 'resp' to numeric. 1 values became NA.","Partially Processed"
"psychtools_sai","Coerced 'resp' to numeric. 1449 values became NA.","Partially Processed"
"mpsycho_rwdq","Coerced 'resp' to numeric. 2492 values became NA.","Partially Processed"
"SV-MAIA2_Randelovic_2021_hexaco60","Coerced 'resp' to numeric. 199 values became NA.","Partially Processed"
"western_reserve_project","Coerced 'resp' to numeric. 378887 values became NA.","Partially Processed"
"HEARD_Roch_2022_K6","Coerced 'resp' to numeric. 16 values became NA.","Partially Processed"
"SF12_MLCIRTwithin","Coerced 'resp' to numeric. 379 values became NA.","Partially Processed"
"close_relationships","Coerced 'resp' to numeric. 9534 values became NA.","Partially Processed"
"SBD_Smith_2020","Coerced 'resp' to numeric. 23 values became NA.","Partially Processed"
"BAFACALO_Golino_2013_SMS","Coerced 'resp' to numeric. 3199 values became NA.","Partially Processed"
"PROMISPME_Forrest_2021_Family_Children","Coerced 'resp' to numeric. 771 values became NA.","Partially Processed"
"polca_election","Coerced 'resp' to numeric. 1292 values became NA.","Partially Processed"
"Fh_Okcsr_Roos_2022_study2_Feeling_Heard","Coerced 'resp' to numeric. 8000 values became NA.","Partially Processed"
"Aspirations_Sonmez_2023","Coerced 'resp' to numeric. 4 values became NA.","Partially Processed"
"nonverbal_immediacy","Coerced 'resp' to numeric. 8712 values became NA.","Partially Processed"
"SABFI2_Gallardo_Pujol_2018_ReligionScale","Coerced 'resp' to numeric. 100 values became NA.","Partially Processed"
"psychtools_epi","Coerced 'resp' to numeric. 4746 values became NA.","Partially Processed"
"fad_dataset2","Coerced 'resp' to numeric. 14702 values became NA.","Partially Processed"
"PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI","Coerced 'resp' to numeric. 2 values became NA.","Partially Processed"
"humor_styles","Coerced 'resp' to numeric. 162 values became NA.","Partially Processed"
"Mechanical_Turk_Recognition","Coerced 'resp' to numeric. 284 values became NA.","Partially Processed"
"pirlsmissing_sirt","Coerced 'resp' to numeric. 11003 values became NA.","Partially Processed"
"HEARD_Roch_2022_COPE","Coerced 'resp' to numeric. 193 values became NA.","Partially Processed"
"Veterans.Affairs.SSVF.Survey.2018-20","Coerced 'resp' to numeric. 476509 values became NA.","Partially Processed"
"DART_Brysbaert_2020_3.4.5","Coerced 'resp' to numeric. 124 values became NA.","Partially Processed"
"ffm_AGR","Coerced 'resp' to numeric. 90888 values became NA.","Partially Processed"
"Mechanical_Turk_Lexical","Coerced 'resp' to numeric. 136 values became NA.","Partially Processed"
"WMD_bartczuk_2023","Coerced 'resp' to numeric. 44 values became NA.","Partially Processed"
"experimental_iq","Coerced 'resp' to numeric. 526 values became NA.","Partially Processed"
"SV-MAIA2_Randelovic_2021_MAIA","Coerced 'resp' to numeric. 5846 values became NA.","Partially Processed"
"mpsycho_lakes","Coerced 'resp' to numeric. 62 values became NA.","Partially Processed"
"fisher_temperment","Coerced 'resp' to numeric. 180 values became NA.","Partially Processed"
"enem_2014_1mil_mt","Coerced 'resp' to numeric. 135 values became NA.","Partially Processed"
"BPAQ_Christopher_2024_FFMQSF","Coerced 'resp' to numeric. 4 values became NA.","Partially Processed"
"feminist_perspectives","Coerced 'resp' to numeric. 14291 values became NA.","Partially Processed"
"vocabulary_iq","Coerced 'resp' to numeric. 76191 values became NA.","Partially Processed"
"sexual_selfconcept","Coerced 'resp' to numeric. 37688 values became NA.","Partially Processed"
"rightwing_authoritariansim","Coerced 'resp' to numeric. 832 values became NA.","Partially Processed"
"PROMISPME_Forrest_2021_PosAff_Children","Coerced 'resp' to numeric. 1186 values became NA.","Partially Processed"
"ptam1_immer","Coerced 'resp' to numeric. 6 values became NA.","Partially Processed"
"VEI_Brazillian_Shiramizu_2018_EI","Coerced 'resp' to numeric. 39 values became NA.","Partially Processed"
"enem_2014_1mil_ch","Coerced 'resp' to numeric. 45 values became NA.","Partially Processed"
"gilbert_meta_5","Data fetch error: could not find function ""stream_callback""","Skipped"
"BAFACALO_Golino_2013_CIS","Coerced 'resp' to numeric. 6911 values became NA.","Partially Processed"
"rosenberg_selfesteem","Coerced 'resp' to numeric. 2059 values became NA.","Partially Processed"
"mpsycho_wenchuan","Coerced 'resp' to numeric. 22 values became NA.","Partially Processed"
"SCS_Suh_2023_SIAPS","Coerced 'resp' to numeric. 130 values became NA.","Partially Processed"
