Filename	BibTex
16_personalityfactors	@misc{16PF,   title = {Catell's 16 Personality Factors Test [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/16PF.zip}},   note = {Accessed via http://openpsychometrics.org/_rawdata/},   year = {n.d.} }
4thgrade_math_sirt	@Manual{Robitzsch2022,   title = {sirt: Supplementary Item Response Theory Models},   author = {Alexander Robitzsch},   year = {2022},   note = {R package version 3.12-66},   url = {https://CRAN.R-project.org/package=sirt} }
abortion	@book{mcgrath1986british,   title={British social attitudes, 1983-86 panel survey},   author={McGrath, K. and Waterton, J.},   year={1986},   publisher={SCPR},   address={London},   url={https://cran.r-project.org/web/packages/ltm/index.html} }
acl_mokken	@book{gough1980adjective,   title={The Adjective Check List, Manual 1980 Edition},   author={Gough, Harrison G. and Heilbrun, Alfred B.},   year={1980},   publisher={Consulting Psychologists Press},   url={https://cran.r-project.org/web/packages/mokken/index.html} }
anxiety_lordif	@manual{promis2008,   title = {Unpublished Manual for the Patient-Reported Outcomes Measurement Information System (PROMIS) Version 1.1},   author = {{PROMIS Cooperative Group}},   year = {2008},   month = {October},   url = {http://www.nihpromis.org},   note = {Available at: https://cran.r-project.org/web/packages/lordif/index.html} }
approaches_to_text_study1	@dataset{calloway_study_2023,   author = {Calloway, Regina C. and Helder, Anne and Perfetti, Charles A.},   title = {Study 1 {TReATQ}, {RH}, {NFC} Raw Data from 'A measure of individual differences in readers\' approaches to text and its relation to reading experience and reading comprehension'},   year = {2023},   publisher = {OSF},   journal = {Behavior Research Methods},   volume = {55},   number = {2},   pages = {899--931},   url = {https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd79} }
approaches_to_text_study2	@dataset{calloway_study2_2023,   author = {Calloway, Regina C. and Helder, Anne and Perfetti, Charles A.},   title = {Study 2 Data from 'A measure of individual differences in readers\' approaches to text and its relation to reading experience and reading comprehension'},   year = {2023},   publisher = {OSF},   journal = {Behavior Research Methods},   volume = {55},   number = {2},   pages = {899--931},   url = {https://osf.io/e7xpy/?view_only=0b3180a18cd94803a7c743096c95dd80},   type = {dataset} }
artistic_preferences	@misc{APS_dataset,   title = {Artistic Preferences Scale [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/APS_data.zip}},   note = {Accessed via http://openpsychometrics.org/_rawdata/},   year = {n.d.} }
assistments_0910	@misc{assistments2010,   title = {2009-2010 {ASSISTment} Data},   year = {2010},   url = {https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data},   howpublished = {\\url{https://sites.google.com/site/assistmentsdata/home/2009-2010-assistment-data}},   organization = {ASSISTments} }
assistments_1213	@misc{assistments_2012,   title={2012-13 School Data with Affect},   author={{ASSISTments}},   year={2012},   howpublished={\\url{https://sites.google.com/site/assistmentsdata/datasets/2012-13-school-data-with-affect}},   note={Accessed through ASSISTments Data} }
assistments_1516	@misc{assistments2015,     title = {2015 {ASSISTments} Skill Builder Data},     author = {{ASSISTments}},     year = {2015},     url = {https://sites.google.com/site/assistmentsdata/datasets/2015-assistments-skill-builder-data},     howpublished = {\\url{https://sites.google.com/site/assistmentsdata/datasets/2015-assistments-skill-builder-data}},     note = {Accessed: ASSISTments Data} }
assistments_2017	@misc{assistmentsdata,   title = {ASSISTments Data Mining Competition 2017},   author = {{ASSISTments}},   year = {2017},   url = {https://sites.google.com/view/assistmentsdatamining/dataset},   urldate = {2024-01-09},   howpublished = {\\url{https://sites.google.com/view/assistmentsdatamining/dataset}} }
balance_mokken	@incollection{van1989problem,   title={Problem solving strategies and the linear logistic test model},   author={Van Maanen, L. and Been, P. H. and Sijtsma, K.},   booktitle={Mathematical psychology in progress},   pages={267--287},   year={1989},   publisher={Springer} }
blocked_interleaved_instruction	@misc{patel2017dissertation,   author = {Patel, R. and Liu, R. and Koedinger, K.},   title = {Dissertation data},   year = {2017},   note = {DataShop @ CMU},   howpublished = {\\url{https://pslcdatashop.web.cmu.edu/DatasetInfo?datasetId=1190}},   type = {dataset} }
brain_hemisphere	@misc{jorgenson2016ohbds,   author = {Jorgenson, E.},   title = {Open Hemispheric Brain Dominance Scale [dataset and codebook]},   year = {2016},   url = {http://openpsychometrics.org/_rawdata/OHBDS-data.zip},   note = {Retrieved from http://openpsychometrics.org/_rawdata/} }
cavalini_mokken	@phdthesis{cavalini1992ill,   title={It's an ill wind that brings no good. Studies on odour annoyance and the dispersion of odorant concentrations from industries},   author={Cavalini, P. M.},   year={1992},   school={University of Groningen},   address={The Netherlands},   type={Doctoral dissertation},   note={Available at: https://cran.r-project.org/web/packages/mokken/index.html} }
cdm_hr	@article{ravand2013exploring,   title={Exploring diagnostic capacity of a high stakes reading comprehension test: A pedagogical demonstration},   author={Ravand, H. and Barati, H. and Widhiarso, W.},   journal={Iranian Journal of Language Testing},   volume={3},   number={1},   pages={1--27},   year={2013},   url={https://cran.r-project.org/web/packages/CDM/index.html} }
cdm_timss11	@article{george2014multiple,   title={Multiple group cognitive diagnosis models, with an emphasis on differential item functioning},   author={George, Ann C and Robitzsch, Alexander},   journal={Psychological Test and Assessment Modeling},   volume={56},   number={4},   pages={405--432},   year={2014},   url={https://cran.r-project.org/web/packages/CDM/index.html} }
