Filename	DOI	Reference
16_personalityfactors		Catell's 16 Personality Factors Test [dataset and codebook]. http://openpsychometrics.org/_rawdata/16PF.zip
4thgrade_math_sirt		Robitzsch A (2022). sirt: Supplementary Item Response Theory Models. R package version 3.12-66, https://CRAN.R-project.org/package=sirt.
5personalityfactors	10.1037/a0022874	Smits, I. A. M., Dolan, C. V., Vorst, H. C. M., Wicherts, J. M., & Timmerman, M. E. (2011). Cohort differences in Big Five personality factors over a period of 25 years. Journal of Personality and Social Psychology, 100(6), 1124–1138. https://doi.org/10.1037/a0022874 
aa1_Silvia_2023	10.1037/aca0000348	Silvia, P. J., Rodriguez-Boerwinkle, R., Awa, K. N., Zabelina, D., & Christensen, A. P. (2024, September 18). Psychometrics of the Aesthetic Responsiveness Assessment (AReA). Retrieved from osf.io/5w6dk
AAQ-II	10.1186/s40359-024-01608-w	Langer, Á. I., Ponce, F. P., Ordóñez-Carrasco, J. L., Fuentes-Ferrada, R., Mac-Ginty, S., Gaete, J., & Núñez, D. (2024). Psychometric evidence of the Acceptance and Action Questionnaire-II (AAQ-II): an item response theory analysis in university students from Chile. BMC psychology, 12(1), 111.
abortion		McGrath, K. and Waterton, J. (1986) British social attitudes, 1983-86 panel survey. London: SCPR.
acl_mokken		Gough, H. G., & Heilbrun,A. B. (1980) The Adjective Check List, Manual 1980 Edition. Consulting Psychologists Press.
ada_boredom_bieleke2022	10.1098/rsos.211998	Bieleke, M., Ripper, L., Schüler, J., & Wolff, W. (2022). Boredom is the root of all evil—or is it? A psychometric network approach to individual differences in behavioural responses to boredom. Royal Society open science, 9(9), 211998.
Adherence_Zissette_2018	10.7910/DVN/5W9HXM	Zissette, Seth, 2018, "Development and Pyschometric Validation of Measures for Vaginal Ring Adherence Survey", https://doi.org/10.7910/DVN/5W9HXM, Harvard Dataverse, V1, UNF:6:mDWjaac6I49x5MDOEq2dDw== [fileUNF]
aestheticfluency_cotter2023	10.1371/journal.pone.0281547	Cotter, K. N., Rodriguez-Boerwinkle, R. M., Christensen, A. P., Fekete, A., Smith, J. K., Smith, L. F., ... & Silvia, P. J. (2023). Updating the Aesthetic Fluency Scale: Revised long and short forms for research in the psychology of the arts. Plos one, 18(2), e0281547.
alcoholresearch_sumscore	10.1371/journal.pone.0294671	Rousson, V., Trächsel, B., Iglesias, K., & Baggio, S. (2023). Evaluating the cost of simplicity in score building: An example from alcohol research. Plos one, 18(11), e0294671.
alcoholstroop_jones2024	10.3758/s13428-024-02377-5	Jones, A., Petrovskaya, E. & Stafford, T. Exploring the multiverse of analysis options for the alcohol Stroop. Behav Res 56, 3578–3588 (2024). https://doi.org/10.3758/s13428-024-02377-5
ALSECYPIAMH_WU_2022_CPS	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
ALSECYPIAMH_WU_2022_Empathy	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
ALSECYPIAMH_WU_2022_MIL	10.17605/OSF.IO/JQZBX	Wu, Y., Yan, W., & Wu, Y. (2024, April 18). A large-scale evaluation of Chinese youth purpose and its associations with mental health. https://doi.org/10.17605/OSF.IO/JQZBX
